ONS_ID,ONS_Name,pct_coverage
3001,AIRPORT,1
3002,ALTA VISTA,0.275
3003,BAYSHORE,0.563
3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,0.197
3005,BEAVERBROOK,1
3006,BEECHWOOD CEMETERY,0
3007,BELLS CORNERS EAST,1
3008,BELLS CORNERS WEST,1
3009,BILLINGS BRIDGE - HERON PARK,0.641
3010,BLACKBURN HAMLET,1
3011,BLOSSOM PARK - TIMBERMILL,1
3012,BORDEN FARM - FISHER GLEN,0.28
3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,0.175
3014,BRIDLEWOOD - EMERALD MEADOWS,1
3015,BRITANNIA,0.636
3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,1
3017,CARDINAL CREEK,1
3018,CARLETON HEIGHTS-COURTLAND PARK,0.632
3019,CARLETON UNIVERSITY,0
3020,CARLINGTON,0.569
3021,CARP,0.941
3022,CARSON GROVE - CARSON MEADOWS,0.079
3023,CENTREPOINTE - BRIARGREEN,0
3024,CENTRETOWN,0.839
3025,CHAPEL HILL NORTH,1
3026,CHAPEL HILL SOUTH,1
3027,CHAPMAN MILLS,1
3028,CITY VIEW,0.182
3029,CIVIC HOSPITAL,0.037
3030,COLONNADE BUSINESS PARK,1
3031,CONSTANCE BAY,0.002
3032,CONVENT GLEN - ORLEANS WOODS,1
3033,CORKERY,0.974
3034,CRAIG HENRY - MANORDALE,0
3035,CRESTVIEW-TANGLEWOOD,0.136
3036,CRYSTAL BAY - LAKEVIEW PARK,1
3037,CUMBERLAND,1
3038,DUNROBIN,0.742
3039,EDWARDS - CARLSBAD SPRINGS,0.981
3040,ELMVALE - CANTERBURY,0.19
3041,EMERALD WOODS - SAWMILL CREEK,1
3042,EXPERIMENTAL FARM,0.086
3043,FALLINGBROOK,1
3044,FINDLAY CREEK,1
3045,FISHER HEIGHTS,0.33
3046,FITZROY,0.185
3047,GLEBE-DOWS LAKE,0.657
3048,GLEN CAIRN,1
3049,GREELY,1
3050,GREENBELT (EAST),0.991
3051,GREENBELT (WEST),1
3052,GREENBORO EAST,1
3053,GREENBORO WEST,1
3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,0.495
3055,HINTONBURG-MECHANICSVILLE,0.584
3056,HUNT CLUB PARK,1
3057,INDUSTRIAL EAST,1
3058,IRIS,0
3059,ISLAND PARK-WELLINGTON VILLAGE,0.51
3060,KANATA LAKES,1
3061,KATIMAVIK-HAZELDEAN,1
3062,KINBURN,0.497
3063,LAURENTIAN,0.152
3064,LEBRETON DEVELOPMENT,0
3065,LEDBURY-HERON GATE-RIDGEMONT,0.717
3066,LESLIE PARK - BRUCE FARM,0
3067,LOWERTOWN EAST,0.265
3068,LOWERTOWN WEST,0.527
3069,MANOR PARK,0.421
3070,MANOTICK,1
3071,MARLBOROUGH,0.526
3072,MERIVALE GARDENS - GRENFELL GLEN - PINEGLEN - COUNTRY PLACE,1
3073,METCALFE,0.969
3074,RICHMOND,0.995
3075,MUNSTER - ASHTON,0.719
3076,NAVAN - SARSFIELD,0.814
3077,NEW EDINBURGH,0
3078,NORTH GOWER - KARS,0.991
3079,OLD BARRHAVEN EAST,1
3080,OLD BARRHAVEN WEST,1
3081,OLD HUNT CLUB,1
3082,OLD OTTAWA EAST,0.194
3083,OLD OTTAWA SOUTH,0.181
3084,ORLEANS INDUSTRIAL,1
3085,ORLEANS VILLAGE - CHATEAUNEUF,1
3086,OSGOODE - VERNON,0.892
3087,OVERBROOK,0.649
3088,PARKWOOD HILLS,0.477
3089,PINEVIEW,0.017
3090,PLAYFAIR PARK - GUILDWOOD ESTATES,0.229
3091,PORTOBELLO SOUTH,1
3092,QUALICUM - REDWOOD,0
3093,QUEENSWAY TERRACE NORTH,0.322
3094,QUEENSWOOD - CHATELAINE,1
3095,QUEENSWOOD HEIGHTS,1
3097,RIDEAUCREST - DAVIDSON HEIGHTS,1
3098,RIVERSIDE PARK - MOONEYS BAY,0.022
3099,RIVERSIDE PARK SOUTH - REVELSTOKE,0
3100,RIVERSIDE SOUTH - LEITRIM,1
3101,RIVERVIEW,0.113
3102,ROCKCLIFFE PARK,0
3103,ROTHWELL HEIGHTS - BEACON HILL NORTH,0.201
3104,SANDY HILL,0.232
3105,SOUTH KEYS,1
3106,STITTSVILLE,0.998
3107,STITTSVILLE EAST,1
3108,STITTSVILLE NORTH,1
3109,STONEBRIDGE - HALF MOON BAY,1
3110,TREND-ARLINGTON,0
3111,VANIER NORTH,0.569
3112,VANIER SOUTH,1
3113,VARS,0.779
3114,WATERRIDGE VILLAGE,0.059
3115,WEST CENTRETOWN,0.836
3116,WESTBORO,0.765
3117,WHITEHAVEN - WOODPARK - GLABAR PARK,0.21
3401,Beckwith,0.811
3402,Carleton Place,1
3403,Drummond/North Elmsley,0.8
3404,Lanark Highlands,0.045
3405,Mississippi Mills,0.886
3406,Montague,0.628
3407,Perth,1
3408,Smiths Falls,1
3409,Tay Valley,0.453
3501,North Grenville,0.88
3601,Alfred and Plantagenet,0.228
3602,Casselman,1
3603,Champlain,0.907
3604,Clarence-Rockland,0.745
3605,East Hawkesbury,0.503
3606,Hawkesbury,0.998
3607,Russell,0.984
3608,The Nation / La Nation,0.645
3701,Admaston/Bromley,0.289
3702,Arnprior,0.999
3703,Bonnechere Valley,0.517
3704,"Brudenell, Lyndoch and Raglan",0
3705,Deep River,0
3706,Greater Madawaska,0.033
3707,"Head, Clara and Maria",0
3708,Horton,0.814
3709,"Killaloe, Hagarty and Richards",0.059
3710,Laurentian Hills,0
3711,Laurentian Valley,0.837
3712,Madawaska Valley,0.625
3713,McNab/Braeside,0.813
3714,North Algona Wilberforce,0.443
3715,Pembroke,1
3716,Petawawa,0.153
3717,Pikwakanagan (Golden Lake 39),0.451
3718,Renfrew,0.997
3719,Whitewater Region,0.107
3802,Cornwall,1
3803,North Dundas,0.703
3804,North Glengarry,0.029
3805,North Stormont,0.186
3806,South Dundas,0.661
3807,South Glengarry,0.406
3808,South Stormont,0.766
