ONS_Name,ONS_Region,rurality,costing,distance,rfei_popweight
AIRPORT,OTTAWA,suburban,auto,10,0.6396267597415718
AIRPORT,OTTAWA,suburban,pedestrian,10,1
ALTA VISTA,OTTAWA,urban,pedestrian,10,0.502119155507006
Admaston/Bromley,Renfrew,rural,auto,15,0.8437266875546178
Alfred and Plantagenet,Prescott and Russell,rural,auto,15,0.777261725826486
Arnprior,Renfrew,town,auto,10,0.8
Arnprior,Renfrew,town,pedestrian,10,0.915467791411043
BAYSHORE,OTTAWA,urban,pedestrian,10,0.2530321738631944
BEACON HILL SOUTH - CARDINAL HEIGHTS,OTTAWA,urban,pedestrian,10,0.5255917347320094
BEAVERBROOK,OTTAWA,suburban,auto,10,0.656095700838656
BEAVERBROOK,OTTAWA,suburban,pedestrian,10,0.9232512036250354
BEECHWOOD CEMETERY,OTTAWA,urban,pedestrian,10,1
BELLS CORNERS EAST,OTTAWA,suburban,auto,10,0.6575402104213278
BELLS CORNERS EAST,OTTAWA,suburban,pedestrian,10,0.7011019948519948
BELLS CORNERS WEST,OTTAWA,suburban,auto,10,0.6642602022931985
BELLS CORNERS WEST,OTTAWA,suburban,pedestrian,10,0.724792112140651
BILLINGS BRIDGE - HERON PARK,OTTAWA,urban,pedestrian,10,0.6481849071682177
BLACKBURN HAMLET,OTTAWA,suburban,auto,10,0.6823401502129047
BLACKBURN HAMLET,OTTAWA,suburban,pedestrian,10,0.7886146230517092
BLOSSOM PARK - TIMBERMILL,OTTAWA,suburban,auto,10,0.693712889683935
BLOSSOM PARK - TIMBERMILL,OTTAWA,suburban,pedestrian,10,0.8916904728137177
BORDEN FARM - FISHER GLEN,OTTAWA,urban,pedestrian,10,0.5664573219020074
BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,OTTAWA,urban,pedestrian,10,0.6981705824767499
BRIDLEWOOD - EMERALD MEADOWS,OTTAWA,suburban,auto,10,0.6866813276562547
BRIDLEWOOD - EMERALD MEADOWS,OTTAWA,suburban,pedestrian,10,0.6532654896190944
BRITANNIA,OTTAWA,urban,pedestrian,10,0.6199041212402381
