ONS_ID,ONS_Name,rurality,pct_covered,costing,travel_limit_mins
3021,CARP,rural,0.9490977821295408,auto,15
3031,CONSTANCE BAY,rural,0.009595283282434659,auto,15
3033,CORKERY,rural,0.9928744553693433,auto,15
3037,CUMBERLAND,rural,1,auto,15
3038,DUNROBIN,rural,0.782286685235922,auto,15
3039,EDWARDS - CARLSBAD SPRINGS,rural,0.9809871084867754,auto,15
3046,FITZROY,rural,0.1895258793174422,auto,15
3049,GREELY,rural,1,auto,15
3062,KINBURN,rural,0.5173791413027048,auto,15
3070,MANOTICK,rural,1,auto,15
3071,MARLBOROUGH,rural,0.6733883276170474,auto,15
3073,METCALFE,rural,0.9947625729884882,auto,15
3074,RICHMOND,rural,1,auto,15
3075,MUNSTER - ASHTON,rural,0.95846445098424,auto,15
3076,NAVAN - SARSFIELD,rural,0.9098480025094069,auto,15
3078,NORTH GOWER - KARS,rural,0.9956978154352951,auto,15
3086,OSGOODE - VERNON,rural,0.9771082318440097,auto,15
3113,VARS,rural,0.6920915085203788,auto,15
3401,Beckwith,rural,0.8613696835530807,auto,15
3403,Drummond/North Elmsley,rural,0.8127885569125484,auto,15
3404,Lanark Highlands,rural,0.04627691068322751,auto,15
3405,Mississippi Mills,rural,0.8922972159852927,auto,15
3406,Montague,rural,0.630312267982825,auto,15
3409,Tay Valley,rural,0.4617043314322808,auto,15
3501,North Grenville,rural,0.8821295406260873,auto,15
3601,Alfred and Plantagenet,rural,0.8173720123734582,auto,15
3603,Champlain,rural,0.9766809467909926,auto,15
3604,Clarence-Rockland,rural,0.7190086706683801,auto,15
3605,East Hawkesbury,rural,0.5768012067219359,auto,15
3607,Russell,rural,0.9945331913517946,auto,15
3608,The Nation / La Nation,rural,0.6821836910349864,auto,15
3701,Admaston/Bromley,rural,0.38477989782157995,auto,15
3703,Bonnechere Valley,rural,0.5182121053011661,auto,15
3704,"Brudenell, Lyndoch and Raglan",rural,0,auto,15
3706,Greater Madawaska,rural,0.05057518655593349,auto,15
3707,"Head, Clara and Maria",rural,0,auto,15
3708,Horton,rural,0.9034244046854024,auto,15
3709,"Killaloe, Hagarty and Richards",rural,0.05878445880712021,auto,15
3710,Laurentian Hills,rural,0.8627295460676182,auto,15
3711,Laurentian Valley,rural,0.8389910089686878,auto,15
3712,Madawaska Valley,rural,0.6319193353344295,auto,15
3713,McNab/Braeside,rural,0.8414154705873881,auto,15
3714,North Algona Wilberforce,rural,0.4957344553205486,auto,15
